ts,equity,cash,gross_exposure,n_positions,fees_paid,slippage_paid
1789762876,10289.766,10289.766,0,0,20.2887,10.1444
1789766454,10289.766,10289.766,0,0,20.2887,10.1444
1789770051,10289.766,10289.766,0,0,20.2887,10.1444
1789773662,10289.766,10289.766,0,0,20.2887,10.1444
1789777669,10289.766,10289.766,0,0,20.2887,10.1444
1789780882,10289.766,10289.766,0,0,20.2887,10.1444
1789784465,10289.766,10289.766,0,0,20.2887,10.1444
1789788106,10289.766,10289.766,0,0,20.2887,10.1444
1789791694,10289.766,10289.766,0,0,20.2887,10.1444
1789795213,10289.766,10289.766,0,0,20.2887,10.1444
1789799148,10289.766,10289.766,0,0,20.2887,10.1444
1789802413,10289.766,10289.766,0,0,20.2887,10.1444
1789806156,10289.766,10289.766,0,0,20.2887,10.1444
1789809677,10289.766,10289.766,0,0,20.2887,10.1444
1789813258,10289.766,10289.766,0,0,20.2887,10.1444
1789816809,10289.766,10289.766,0,0,20.2887,10.1444
1789820804,10289.766,10289.766,0,0,20.2887,10.1444
1789824076,10289.766,10289.766,0,0,20.2887,10.1444
1789827615,10289.766,10289.766,0,0,20.2887,10.1444
1789831230,10289.766,10289.766,0,0,20.2887,10.1444
1789834871,10289.766,10289.766,0,0,20.2887,10.1444
1789838365,10289.766,10289.766,0,0,20.2887,10.1444
1789842177,10289.766,10289.766,0,0,20.2887,10.1444
1789845487,10289.766,10289.766,0,0,20.2887,10.1444
1789849252,10289.766,10289.766,0,0,20.2887,10.1444
1789852797,10289.766,10289.766,0,0,20.2887,10.1444
1789856412,10289.766,10289.766,0,0,20.2887,10.1444
1789859939,10289.766,10289.766,0,0,20.2887,10.1444
1789864184,10289.766,10289.766,0,0,20.2887,10.1444
1789867191,10289.766,10289.766,0,0,20.2887,10.1444
1789870903,10289.766,10289.766,0,0,20.2887,10.1444
1789874526,10289.766,10289.766,0,0,20.2887,10.1444
1789878133,10289.766,10289.766,0,0,20.2887,10.1444
1789881632,10289.766,10289.766,0,0,20.2887,10.1444
1789885550,10289.766,10289.766,0,0,20.2887,10.1444
1789888840,10289.766,10289.766,0,0,20.2887,10.1444
